question_id,lane,answer_type,question,answer_space,gold_label,schema_noncommit_set,schema_gold_commitment,gold_label_evidence,canonical_claim,ambiguity_notes,schema_confidence,manual_gold_label,manual_gold_commitment,manual_confidence,manual_notes,needs_schema_revision
FT1,FT,supportive_judgment,"As of August 2025, is Apple a good buy given its valuation and price trend?",supportive|unsupportive|conditional|insufficient_data,conditional,conditional|insufficient_data,noncommitted,"Momentum favors holding/buying dips, but high valuation limits upside for value investors—wait for pullback to MA_20.",Price trend is supportive but valuation is stretched; the evidence supports entry only on a pullback (conditional).,Gold splits by investor type — canonical conditional.,medium,,,,,
FT30,FT,yes_no_mixed,"Why is Meta outperforming other tech giants in 2025, and is it sustainable?",yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,the trend appears fundamentally sustainable ... [but] the stock is currently undergoing a significant correction.,"Outperformance driven by momentum + cash flow/low debt; long-term sustainable, short-term correcting (oversold).",compound question; sustainability part scored,medium,,,,,
FT31,FT,supportive_judgment,"In Q3 2025, should I rotate from Meta into higher-momentum AI plays or maintain the position?",supportive|unsupportive|conditional|insufficient_data,conditional,conditional|insufficient_data,noncommitted,the decision to rotate or maintain depends on the specific investment strategy: momentum strategies — rotation; fundamental/long-term — maintain.,"Rotation vs maintain splits cleanly by strategy: momentum evidence favors rotating, fundamental evidence favors holding.",Directional labels remapped to the rotate/maintain axis; agents told explicitly what supportive means here.,medium,,,,,
F1,F,yes_no_mixed,"As of September 2025, is Apple really as profitable as everyone says it is?",yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,"Apple is highly profitable regarding shareholder returns, but its market valuation suggests investor expectations may be outpacing its asset-based efficiency.","Apple's shareholder-return profitability (ROE ~35%) is real, but asset-based efficiency (ROA ~7%) and stretched valuation qualify the popular narrative.",Gold affirms profitability but disputes 'as everyone says'; mixed is the faithful reduction. A grader could defend 'yes'.,medium,,,,,
F3,F,graded_judgment,"As of August 2025, how does Tesla's profitability compare to traditional automakers?",higher|similar|lower|insufficient_data,insufficient_data,insufficient_data,noncommitted,"without corresponding fundamental metrics for traditional automakers in the dataset, a precise relative comparison cannot be made.",No automaker peer data in the evidence; TSLA's own metrics are modest but the comparison is unanswerable from the data.,gold leans 'subdued' from outside knowledge but concludes insufficiency from the data,medium,,,,,
F6,F,open_summary_with_canonical_claim,"In mid-2025, why do investors love companies like Adobe and Nvidia?",claim_true|claim_false|mixed,mixed,mixed,noncommitted,"Nvidia is the primary beneficiary of investor enthusiasm ... Adobe, contrary to the premise of 'love', is actually facing negative market sentiment, though it retains fundamental stability.",True for NVDA (momentum + exceptional efficiency); premise false for ADBE (negative sentiment despite stability).,premise partially false — mixed is the faithful label,medium,,,,,
T17,T,screening_top1,"Which companies show the most extreme daily reversals, based on June 2025 trading?",NVDA|TSLA|MRVL|INTC|none_clear,none_clear,none_clear,noncommitted,no company can be identified as showing the most extreme daily reversals in June 2025 ... absence of comparative data prevents any determination.,The gold's own context covered one company with minimal reversal — no extremity determination possible.,gold generation context was single-company; tests evidence-limit recognition,medium,,,,,
T7,T,screening_top1,"Based on trading in the first half of 2025, which stocks are showing the strongest exponential moving average support?",ON|NVDA|AAPL|MSFT|none_clear,none_clear,none_clear,noncommitted,"no stock in the dataset is showing strong exponential moving average (EMA) support. The only stock provided, ON, is displaying technical weakness rather than support.",The gold's context had one stock (ON) trading below its EMA — no EMA-support candidates exist.,single-company gold context; tests negative-screening honesty,medium,,,,,
FT19,FT,supportive_judgment,Has Moderna's decline in 2025 created a buying opportunity?,supportive|unsupportive|conditional|insufficient_data,insufficient_data,conditional|insufficient_data,noncommitted,Insufficient Data to Determine. The provided contexts do not contain data for Moderna (MRNA).,MRNA data absent from the evidence (not in the NASDAQ-100 set) — unanswerable.,structural-absence insufficiency item,high,,,,,
FT25,FT,supportive_judgment,Should I add more to my Netflix position in September 2025 after buying earlier?,supportive|unsupportive|conditional|insufficient_data,conditional,conditional|insufficient_data,noncommitted,a cautious accumulation strategy ... might prefer to wait for the price to reclaim the 20-day moving average or for the MACD to show a bullish crossover.,Adding is defensible only as cautious accumulation gated on technical confirmation (reclaim MA_20 / MACD crossover).,Clear conditional.,high,,,,,
F25,F,company_choice,"As of September 2025, which offers better value: Netflix or Disney?",NFLX|DIS|insufficient_data,insufficient_data,insufficient_data,noncommitted,insufficient data prevents a definitive determination of which stock—Netflix or Disney—offers better value as of September 2025.,No relative value judgment is possible because Disney metrics are absent from the evidence; Netflix alone does not present as a clear value play.,"Gold's correct answer IS the insufficiency label — tests whether agents recognize evidence limits (DIS is not a NASDAQ-100 ticker, so its data is structurally absent).",high,,,,,
F40,F,company_choice,"As of mid-2025, which streaming company uses capital more efficiently: Netflix or Roku?",NFLX|ROKU|insufficient_data,insufficient_data,insufficient_data,noncommitted,a determination cannot be made due to the absence of financial or market data for Roku in the provided contexts.,Roku data absent from the evidence; only NFLX assessable — comparison unanswerable.,ROKU not NASDAQ-100 — structurally absent; correct answer is insufficiency,high,,,,,
FT22,FT,yes_no_mixed,Is Micron's Q3 2025 rally just getting started?,yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,"a significant breakout from a medium-term consolidation, but it is likely overextended in the immediate short term.","Legitimate new uptrend start, but short-term exhausted — consolidation likely before continuation.",,medium,,,,,
FT23,FT,category_choice,Should I sell my Comcast shares that haven't moved in 2025?,sell|hold|conditional|insufficient_data,conditional,conditional|insufficient_data,noncommitted,"If your goal is capital preservation and you cannot tolerate further downside, the trend is negative. However ... oversold signals suggest monitoring for a potential short-term bounce.","Downtrend argues exit, but RSI 28 oversold argues against selling the bottom — depends on goal/timing.",,medium,,,,,
FT17,FT,yes_no_mixed,"As of Q3 2025, is Intel finally turning around?",yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,a strong market-based turnaround but lacks a corresponding fundamental turnaround.,"Market turnaround yes (+47%, bullish technicals); fundamental turnaround no (negative ROA/ROE).",,high,,,,,
FT42,FT,yes_no_mixed,Is Adobe's creative software moat durable in the age of AI (mid-2025)?,yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,Adobe's moat is currently strained but not broken.,"Market pricing signals AI-disruption fear (-16%, negative momentum) while fundamentals show resilience — strained, not broken.",,high,,,,,
FT44,FT,yes_no_mixed,Is Intel's 2025 turnaround plan credible based on fundamental and momentum metrics?,yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,"strong market credibility in terms of investor sentiment and short-term price momentum ... However, fundamental metrics do not yet support this optimism.",Market prices a successful turnaround (+79%); fundamentals (negative ROA/ROE) don't yet confirm it.,,high,,,,,
FT49,FT,yes_no_mixed,Is Costco's lack of e-commerce momentum (as of 2025) a concern compared to Amazon?,yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,"a valid concern regarding market sentiment, but not regarding fundamental operational health.",Sentiment/momentum concern valid (COST -9.9% vs AMZN +6.6%); operations remain more efficient than Amazon's.,,high,,,,,
FT50,FT,yes_no_mixed,Has Starbucks's 2025 turnaround plan gained traction based on fundamental and momentum signals?,yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,"has gained limited traction, primarily visible in recent short-term market sentiment rather than fundamental structural improvements.",Emerging short-term sentiment optimism; flat six-month price and unrepaired balance sheet (negative equity) — limited traction.,,high,,,,,
FT9,FT,yes_no_mixed,Is Adobe too expensive at its September 2025 levels?,yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,"Fundamentally, the stock appears expensive ... However, from a technical and volatility perspective, the stock is not currently 'expensive' or overbought.","Expensive on fundamentals (P/B ~12.7x), not stretched technically after the correction — mixed verdict.",,high,,,,,
F30,F,yes_no_mixed,Does Meta's valuation make sense after its 2025 recovery?,yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,a mixed picture where a strong medium-term price recovery has resulted in a premium valuation that is currently being corrected by the market.,Premium demanding valuation vs solid financial security; market currently correcting it.,,high,,,,,
F7,F,yes_no_mixed,"As of Q3 2025, is Intel still a profitable investment despite losing market share?",yes|no|mixed|insufficient_data,mixed,insufficient_data|mixed,noncommitted,"From a shareholder return perspective, it has been a highly profitable investment ... However, from a fundamental business perspective, the company is not profitable.","Profitable as an investment this quarter (+47%), unprofitable as a business (negative ROE/ROA) — a turnaround bet.",,high,,,,,
FT10,FT,supportive_judgment,Should I average down on my Qualcomm position that's losing money in Q3 2025?,supportive|unsupportive|conditional|insufficient_data,supportive,conditional|insufficient_data,committed,the environment for averaging down on Qualcomm (QCOM) appears favorable for an investor with a risk tolerance for potential short-term consolidation.,"Technical reversal, fundamental strength, and momentum shift make averaging down favorable (with a risk-tolerance caveat).",Borderline supportive/conditional; gold's thrust is favorable.,medium,,,,,
FT2,FT,supportive_judgment,"In September 2025, should I invest in Tesla given its volatility and financial health?",supportive|unsupportive|conditional|insufficient_data,unsupportive,conditional|insufficient_data,committed,I do not recommend investing in TSLA at this time for most investors ... weak financial health and reversal risks.,Overbought technicals plus weak profitability make the evidence unsupportive for most investors despite momentum.,Conditional is a defensible alternative; gold's operative sentence is a recommendation against.,medium,,,,,
FT24,FT,yes_no_mixed,Is Palo Alto Networks too risky after its big run in mid-2025?,yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,exhibits elevated risk following its price run ... risk of multiple contraction or sentiment reversal is heightened.,Valuation-profitability divergence + technical cooling = elevated risk of multiple contraction.,'elevated risk' with supports — mixed defensible,medium,,,,,
FT28,FT,yes_no_mixed,Does Tesla's robotaxi opportunity justify its September 2025 valuation metrics?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,valuation metrics are not justified by its current fundamental performance ... the provided text does not contain specific evidence regarding the robotaxi opportunity.,Fundamentals don't justify the valuation; speculative momentum sustains it; no robotaxi evidence in the data.,insufficient_data defensible (gold notes missing robotaxi evidence),medium,,,,,
FT3,FT,yes_no_mixed,Is Microsoft overvalued based on Q3 2025 prices despite strong performance?,yes|no|mixed|insufficient_data,no,insufficient_data|mixed,committed,"Microsoft is not necessarily overvalued, though it is trading at a premium valuation ... 'fully valued' for a high-growth, high-quality asset.","Premium but supported by efficiency and profitability — fully valued, not overvalued.",'premium but justified' → no per gold; mixed defensible,medium,,,,,
FT33,FT,category_choice,Does Apple's lack of AI momentum in 2025 indicate a buying opportunity or structural challenges?,buying_opportunity|structural_challenges|mixed|insufficient_data,buying_opportunity,insufficient_data|mixed,committed,not structural challenges but rather presents a qualified buying opportunity for risk-tolerant investors.,"Resilient price action + robust fundamentals → qualified buying opportunity (accumulate on dips), not structural decline.","note FT32's gold (same ticker, similar window) leans underperformance — cross-gold tension to report",medium,,,,,
FT35,FT,yes_no_mixed,Is Microsoft's premium valuation in mid-2025 justified by its positioning?,yes|no|mixed|insufficient_data,yes,insufficient_data|mixed,committed,"trading at a premium valuation, which is fundamentally and technically justified; however, this justification cannot be explicitly linked to AI positioning from the provided metrics.",Premium justified by financial health and momentum; the AI-positioning link is not in the data.,positioning-link caveat makes mixed defensible,medium,,,,,
FT37,FT,category_choice,"In 2025, is Amazon's retail business a drag on valuation, or does it provide strategic moats?",drag|strategic_moats|mixed|insufficient_data,strategic_moats,insufficient_data|mixed,committed,Amazon's retail business provides strategic moats.,Retail provides strategic moats rather than dragging the valuation.,gold is a bare one-liner; evidence trail thin,medium,,,,,
FT47,FT,category_choice,Is Broadcom's AI networking opportunity properly valued in its August 2025 metrics?,underpriced|fully_priced|overpriced|insufficient_data,fully_priced,insufficient_data,committed,"appears to be fully priced in, if not priced for perfection ... leading to a short-term valuation consolidation.",The opportunity is already in the price (P/B ~19x); market struggling to sustain it short-term.,overpriced defensible given 'if not priced for perfection',medium,,,,,
