question_id,lane,answer_type,round,K,evidence_mode,intervention,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_noncommit,p_noncommit_fundamental,p_noncommit_trading,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,model
F1,F,yes_no_mixed,0,10,oracle_evidence,,True,AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,yes,0.0,0.0,0.0,"{""yes"": 1.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,vertex:gemini-3-flash-preview
F1,F,yes_no_mixed,1,10,oracle_evidence,,True,AAPL,1.0,True,0.1985152433458726,0.1625414866957241,0.035973756650148486,0.22351524334587258,0.1875414866957241,0.035973756650148486,0.1431984785579781,0.11724889839732029,0.025949580160657796,0.18121407728610292,yes,0.05,0.1,0.0,"{""yes"": 0.95, ""no"": 0.0, ""mixed"": 0.05, ""insufficient_data"": 0.0}",0.3250829733914482,-0.0,10,10,0.05,False,1.805,2.1484344131667874,0.1,0.0,vertex:gemini-3-flash-preview
F10,F,open_summary_with_canonical_claim,0,10,oracle_evidence,,True,AVGO,1.0,True,0.6881388137135884,0.1625414866957241,0.5255973270178643,0.7131388137135884,0.1875414866957241,0.5255973270178643,0.626370941606566,0.14795163714469228,0.47841930446187375,0.7637954966984672,claim_true,0.45,0.9,0.0,"{""claim_true"": 0.55, ""claim_false"": 0.0, ""mixed"": 0.45}",0.3250829733914482,-0.0,10,10,0.55,True,0.40499999999999997,0.7386095546367027,0.1,1.0,vertex:gemini-3-flash-preview
F10,F,open_summary_with_canonical_claim,1,10,oracle_evidence,,True,AVGO,1.0,True,0.3250829733914482,0.3250829733914482,0.0,0.3500829733914482,0.3750829733914482,0.0,0.29590327428938457,0.29590327428938457,0.0,0.0,mixed,0.9,0.9,0.9,"{""claim_true"": 0.1, ""claim_false"": 0.0, ""mixed"": 0.9}",0.3250829733914482,0.3250829733914482,10,10,0.1,False,1.62,1.7272209480904839,0.1,0.1,vertex:gemini-3-flash-preview
F11,F,yes_no_mixed,0,10,oracle_evidence,,True,TSLA,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,yes,0.0,0.0,0.0,"{""yes"": 1.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,vertex:gemini-3-flash-preview
F11,F,yes_no_mixed,1,10,oracle_evidence,,True,TSLA,1.0,True,0.5623351446188083,0.34657359027997264,0.21576155433883565,0.5873351446188083,0.37157359027997267,0.21576155433883565,0.4056390622295664,0.25,0.15563906222956642,0.3836885465963443,yes,0.25,0.0,0.5,"{""yes"": 0.75, ""no"": 0.0, ""mixed"": 0.25, ""insufficient_data"": 0.0}",-0.0,0.6931471805599453,10,10,0.75,True,0.125,0.5389965007326869,1.0,0.5,vertex:gemini-3-flash-preview
F12,F,company_choice,0,10,oracle_evidence,,False,AAPL|MSFT|GOOGL,1.0,True,0.5623351446188083,0.34657359027997264,0.21576155433883565,0.5873351446188083,0.37157359027997267,0.21576155433883565,0.4056390622295664,0.25,0.15563906222956642,0.3836885465963443,GOOGL,0.0,0.0,0.0,"{""AAPL"": 0.0, ""MSFT"": 0.25, ""GOOGL"": 0.75, ""insufficient_data"": 0.0}",-0.0,0.6931471805599453,10,10,0.75,True,0.125,0.5389965007326869,1.0,0.5,vertex:gemini-3-flash-preview
F12,F,company_choice,1,10,oracle_evidence,,False,AAPL|MSFT|GOOGL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,GOOGL,0.0,0.0,0.0,"{""AAPL"": 0.0, ""MSFT"": 0.0, ""GOOGL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,vertex:gemini-3-flash-preview
F13,F,yes_no_mixed,0,10,oracle_evidence,,True,NFLX,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,no,0.0,0.0,0.0,"{""yes"": 0.0, ""no"": 1.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,vertex:gemini-3-flash-preview
F13,F,yes_no_mixed,1,10,oracle_evidence,,True,NFLX,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,no,0.0,0.0,0.0,"{""yes"": 0.0, ""no"": 1.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,vertex:gemini-3-flash-preview
