question_id,lane,answer_type,round,K,evidence_mode,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_noncommit,p_noncommit_fundamental,p_noncommit_trading,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,model
F1,F,yes_no_mixed,0,10,oracle_evidence,True,AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,yes,0.0,0.0,0.0,"{""yes"": 1.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,vertex:gemini-3.1-pro-preview
F1,F,yes_no_mixed,1,10,oracle_evidence,True,AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,yes,0.0,0.0,0.0,"{""yes"": 1.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,vertex:gemini-3.1-pro-preview
F11,F,yes_no_mixed,0,10,oracle_evidence,True,TSLA,1.0,True,0.1985152433458726,0.1625414866957241,0.035973756650148486,0.22351524334587258,0.1875414866957241,0.035973756650148486,0.1431984785579781,0.11724889839732029,0.025949580160657796,0.18121407728610292,yes,0.05,0.1,0.0,"{""yes"": 0.95, ""no"": 0.0, ""mixed"": 0.05, ""insufficient_data"": 0.0}",0.3250829733914482,-0.0,10,10,0.95,True,0.0050000000000000044,0.33314444652853825,0.9,1.0,vertex:gemini-3.1-pro-preview
F11,F,yes_no_mixed,1,10,oracle_evidence,True,TSLA,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,yes,0.0,0.0,0.0,"{""yes"": 1.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,vertex:gemini-3.1-pro-preview
F12,F,company_choice,0,10,oracle_evidence,False,AAPL|MSFT|GOOGL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,GOOGL,0.0,0.0,0.0,"{""AAPL"": 0.0, ""MSFT"": 0.0, ""GOOGL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,vertex:gemini-3.1-pro-preview
F12,F,company_choice,1,10,oracle_evidence,False,AAPL|MSFT|GOOGL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,GOOGL,0.0,0.0,0.0,"{""AAPL"": 0.0, ""MSFT"": 0.0, ""GOOGL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,vertex:gemini-3.1-pro-preview
F2,F,company_choice,0,10,oracle_evidence,False,MSFT|GOOGL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,MSFT,0.0,0.0,0.0,"{""MSFT"": 1.0, ""GOOGL"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.1972245773362196,0.0,0.0,vertex:gemini-3.1-pro-preview
F2,F,company_choice,1,10,oracle_evidence,False,MSFT|GOOGL,1.0,True,0.6108643020548935,0.33650583350462826,0.27435846855026524,0.6358643020548935,0.3615058335046283,0.27435846855026524,0.556032649876389,0.3063008096446721,0.2497318402317169,0.4491316117627886,MSFT,0.0,0.0,0.0,"{""MSFT"": 0.7, ""GOOGL"": 0.3, ""insufficient_data"": 0.0}",-0.0,0.6730116670092565,10,10,0.3,False,0.9799999999999999,1.1676051601550612,0.0,0.6,vertex:gemini-3.1-pro-preview
F25,F,company_choice,0,10,oracle_evidence,True,NFLX|DIS,1.0,True,0.39439769144744274,0.3250829733914482,0.06931471805599454,0.44439769144744273,0.3750829733914482,0.06931471805599454,0.3589962496465303,0.29590327428938457,0.06309297535714575,0.17574828544662358,insufficient_data,0.9,0.9,0.9,"{""NFLX"": 0.05, ""DIS"": 0.05, ""insufficient_data"": 0.9}",0.3250829733914482,0.3250829733914482,10,10,0.9,True,0.014999999999999996,0.3409265869705932,0.9,0.9,vertex:gemini-3.1-pro-preview
F25,F,company_choice,1,10,oracle_evidence,True,NFLX|DIS,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""NFLX"": 0.0, ""DIS"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.25131442828090605,1.0,1.0,vertex:gemini-3.1-pro-preview
F31,F,company_choice,0,10,oracle_evidence,False,AMZN|WMT|COST,1.0,True,0.1985152433458726,0.1625414866957241,0.035973756650148486,0.22351524334587258,0.1875414866957241,0.035973756650148486,0.1431984785579781,0.11724889839732029,0.025949580160657796,0.18121407728610292,insufficient_data,0.95,0.9,1.0,"{""AMZN"": 0.0, ""WMT"": 0.05, ""COST"": 0.0, ""insufficient_data"": 0.95}",0.3250829733914482,-0.0,10,10,0.0,False,1.9049999999999998,2.4849066497880004,0.0,0.0,vertex:gemini-3.1-pro-preview
F31,F,company_choice,1,10,oracle_evidence,False,AMZN|WMT|COST,1.0,True,0.3250829733914482,0.25020121176909393,0.07488176162235427,0.3500829733914482,0.27520121176909396,0.07488176162235427,0.23449779679464058,0.18048202372184058,0.054015773072800005,0.23034661225454434,insufficient_data,0.9,1.0,0.8,"{""AMZN"": 0.0, ""WMT"": 0.1, ""COST"": 0.0, ""insufficient_data"": 0.9}",-0.0,0.5004024235381879,10,10,0.0,False,1.82,2.4849066497880004,0.0,0.0,vertex:gemini-3.1-pro-preview
F44,F,open_summary_with_canonical_claim,0,10,oracle_evidence,False,AMZN|META,1.0,True,0.6474466390346325,0.49904732020035236,0.14839931883428015,0.6724466390346325,0.5490473202003524,0.12339931883428013,0.589331327997029,0.4542524467893644,0.13507888120766462,0.22920702632042259,claim_false,0.35,0.6,0.1,"{""claim_true"": 0.0, ""claim_false"": 0.65, ""mixed"": 0.35}",0.6730116670092565,0.3250829733914482,10,10,0.0,False,1.5450000000000002,2.1972245773362196,0.0,0.0,vertex:gemini-3.1-pro-preview
F44,F,open_summary_with_canonical_claim,1,10,oracle_evidence,False,AMZN|META,1.0,True,0.6931471805599453,0.0,0.6931471805599453,0.7181471805599453,0.0,0.7181471805599453,0.6309297535714574,0.0,0.6309297535714574,1.0,claim_false,0.5,0.0,1.0,"{""claim_true"": 0.0, ""claim_false"": 0.5, ""mixed"": 0.5}",-0.0,-0.0,10,10,0.0,False,1.5,2.1972245773362196,0.0,0.0,vertex:gemini-3.1-pro-preview
