question_id,lane,answer_type,round,K,evidence_mode,coverage_incomplete,tickers,parse_rate,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,gold_prob,predicted,correct,brier,nll,p_sys,agent_entropy_fundamental,agent_entropy_trading,agent_gold_prob_fundamental,agent_gold_prob_trading,k_eff_fundamental,k_eff_trading
F1,F,yes_no_mixed,0,10,oracle_evidence,True,AAPL,1.0,0.1985152433458726,0.1625414866957241,0.035973756650148486,0.22351524334587258,0.1875414866957241,0.035973756650148486,0.1431984785579781,0.11724889839732029,0.025949580160657796,0.18121407728610292,0.95,mixed,True,0.0050000000000000044,0.33314444652853825,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.95, ""insufficient_data"": 0.05}",-0.0,0.3250829733914482,1.0,0.9,10,10
F1,F,yes_no_mixed,1,10,oracle_evidence,True,AAPL,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,mixed,True,0.0,0.2876820724517809,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,1.0,1.0,10,10
F11,F,yes_no_mixed,0,10,oracle_evidence,True,TSLA,1.0,0.42270908780599087,0.30543215102744675,0.11727693677854412,0.4477090878059909,0.3304321510274468,0.11727693677854412,0.30492015235820025,0.22032272480767318,0.08459742755052704,0.2774412478029577,0.0,mixed,False,1.7449999999999999,2.4849066497880004,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.85, ""insufficient_data"": 0.15}",-0.0,0.6108643020548935,0.0,0.0,10,10
F11,F,yes_no_mixed,1,10,oracle_evidence,True,TSLA,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,mixed,False,2.0,2.4849066497880004,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,0.0,0.0,10,10
F12,F,company_choice,0,10,oracle_evidence,False,AAPL|MSFT|GOOGL,1.0,0.5623351446188083,0.5556333627965406,0.006701781822267661,0.5873351446188083,0.6056333627965407,0.0,0.4056390622295664,0.4008047485295137,0.004834313700052677,0.01191777161075468,0.75,GOOGL,True,0.125,0.5389965007326869,"{""AAPL"": 0.0, ""MSFT"": 0.25, ""GOOGL"": 0.75, ""insufficient_data"": 0.0}",0.6108643020548935,0.5004024235381879,0.7,0.8,10,10
F12,F,company_choice,1,10,oracle_evidence,False,AAPL|MSFT|GOOGL,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,GOOGL,True,0.0,0.2876820724517809,"{""AAPL"": 0.0, ""MSFT"": 0.0, ""GOOGL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,1.0,1.0,10,10
F2,F,company_choice,0,10,oracle_evidence,False,MSFT|GOOGL,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,GOOGL,True,0.0,0.25131442828090605,"{""MSFT"": 0.0, ""GOOGL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,1.0,1.0,10,10
F2,F,company_choice,1,10,oracle_evidence,False,MSFT|GOOGL,1.0,0.3250829733914482,0.25020121176909393,0.07488176162235427,0.3500829733914482,0.27520121176909396,0.07488176162235427,0.29590327428938457,0.2277429575017976,0.06816031678758694,0.23034661225454434,0.9,GOOGL,True,0.019999999999999997,0.3409265869705932,"{""MSFT"": 0.0, ""GOOGL"": 0.9, ""insufficient_data"": 0.1}",0.5004024235381879,-0.0,0.8,1.0,10,10
F25,F,company_choice,0,10,oracle_evidence,True,NFLX|DIS,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,insufficient_data,True,0.0,0.25131442828090605,"{""NFLX"": 0.0, ""DIS"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,1.0,1.0,10,10
F25,F,company_choice,1,10,oracle_evidence,True,NFLX|DIS,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,insufficient_data,True,0.0,0.25131442828090605,"{""NFLX"": 0.0, ""DIS"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,1.0,1.0,10,10
