question_id,lane,answer_type,round,K,evidence_mode,intervention,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_noncommit,p_noncommit_fundamental,p_noncommit_trading,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,error,model,source_benchmark,hedgeqa_transformation,gold_commitment
hqa_FTB_008bd6df,FT,category_choice,0,10,hedgeqa_oracle,,False,,1.0,True,0.1985152433458726,0.1625414866957241,0.035973756650148486,0.22351524334587258,0.1875414866957241,0.035973756650148486,0.1431984785579781,0.11724889839732029,0.025949580160657796,0.18121407728610292,conditional,0.95,1.0,0.9,"{""sell"": 0.05, ""hold"": 0.0, ""conditional"": 0.95, ""insufficient_data"": 0.0}",-0.0,0.3250829733914482,10,10,0.95,True,0.0050000000000000044,0.33314444652853825,1.0,0.9,,gemma4:latest,fintradebench,none,noncommitted
hqa_FTB_008bd6df,FT,category_choice,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,conditional,1.0,1.0,1.0,"{""sell"": 0.0, ""hold"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,gemma4:latest,fintradebench,none,noncommitted
hqa_FTB_01c97f78,FT,category_choice,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""value_trap"": 0.0, ""genuine_opportunity"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,,gemma4:latest,fintradebench,none,committed
hqa_FTB_01c97f78,FT,category_choice,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""value_trap"": 0.0, ""genuine_opportunity"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,,gemma4:latest,fintradebench,none,committed
hqa_FTB_06c86cd6,FT,category_choice,0,10,hedgeqa_oracle,,False,,1.0,True,1.0486537893593546,0.9899617766489042,0.058692012710450436,1.0986537893593546,1.0899617766489043,0.008692012710450392,0.7564438107590803,0.7141064729205009,0.04233733783857943,0.05596891300636663,reinvestment_opportunity,0.55,0.4,0.7,"{""reinvestment_opportunity"": 0.45, ""cash_flow_weakness"": 0.0, ""mixed"": 0.35, ""insufficient_data"": 0.2}",0.9502705392332347,1.0296530140645737,10,10,0.44999999999999996,True,0.4650000000000001,0.958850346292951,0.6,0.3,,gemma4:latest,fintradebench,none,committed
hqa_FTB_06c86cd6,FT,category_choice,1,10,hedgeqa_oracle,,False,,1.0,True,0.6931471805599453,0.0,0.6931471805599453,0.7181471805599453,0.0,0.7181471805599453,0.5,0.0,0.5,1.0,reinvestment_opportunity,0.5,1.0,0.0,"{""reinvestment_opportunity"": 0.5, ""cash_flow_weakness"": 0.0, ""mixed"": 0.5, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.5,True,0.5,0.8754687373538999,0.0,1.0,,gemma4:latest,fintradebench,none,committed
hqa_FB_1858a6da_masked,F,yes_no,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,yes,0.0,0.0,0.0,"{""yes"": 1.0, ""no"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.1972245773362196,0.0,0.0,,gemma4:latest,financebench,evidence_masked_insufficient,noncommitted
hqa_FB_1858a6da_masked,F,yes_no,1,10,hedgeqa_oracle,,False,,1.0,True,1.0104127537805414,0.46797363772317085,0.5424391160573705,1.0604127537805415,0.5179736377231708,0.5424391160573706,0.9197173235750931,0.4259679620828868,0.49374936149220616,0.5368490391949137,yes,0.15,0.3,0.0,"{""yes"": 0.45, ""no"": 0.4, ""insufficient_data"": 0.15}",0.6108643020548935,0.3250829733914482,10,10,0.15,False,1.085,1.5553706911638245,0.3,0.0,,gemma4:latest,financebench,evidence_masked_insufficient,noncommitted
hqa_FB_04a83e7c,F,yes_no,0,10,hedgeqa_oracle,,False,,1.0,True,0.6730116670092565,0.25020121176909393,0.4228104552401626,0.6980116670092565,0.27520121176909396,0.4228104552401626,0.6126016192893442,0.2277429575017976,0.38485866178754663,0.6282364421987758,no,0.0,0.0,0.0,"{""yes"": 0.4, ""no"": 0.6, ""insufficient_data"": 0.0}",-0.0,0.5004024235381879,10,10,0.4,False,0.72,0.9734491457141036,0.0,0.8,,gemma4:latest,financebench,none,committed
hqa_FB_04a83e7c,F,yes_no,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,no,0.0,0.0,0.0,"{""yes"": 0.0, ""no"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.1972245773362196,0.0,0.0,,gemma4:latest,financebench,none,committed
