question_id,lane,answer_type,round,K,evidence_mode,intervention,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_noncommit,p_noncommit_fundamental,p_noncommit_trading,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,model
F1,F,yes_no_mixed,0,10,oracle_evidence,,True,AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,yes,0.0,0.0,0.0,"{""yes"": 1.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,vllm:Qwen/Qwen3.6-27B-FP8
F1,F,yes_no_mixed,1,10,oracle_evidence,,True,AAPL,1.0,True,0.3250829733914482,0.25020121176909393,0.07488176162235427,0.3500829733914482,0.27520121176909396,0.07488176162235427,0.23449779679464058,0.18048202372184058,0.054015773072800005,0.23034661225454434,yes,0.1,0.0,0.2,"{""yes"": 0.9, ""no"": 0.0, ""mixed"": 0.1, ""insufficient_data"": 0.0}",-0.0,0.5004024235381879,10,10,0.1,False,1.62,1.8971199848858813,0.0,0.2,vllm:Qwen/Qwen3.6-27B-FP8
F10,F,open_summary_with_canonical_claim,0,10,oracle_evidence,,True,AVGO,1.0,True,1.080527626604172,0.8614000973122595,0.21912752929191237,1.130527626604172,0.9364000973122595,0.19412752929191246,0.9835386311891134,0.7840801583937935,0.19945847279531995,0.2027967854746809,claim_false,0.35,0.2,0.5,"{""claim_true"": 0.25, ""claim_false"": 0.4, ""mixed"": 0.35}",1.0296530140645737,0.6931471805599453,10,10,0.25,False,0.845,1.2809338454620642,0.5,0.0,vllm:Qwen/Qwen3.6-27B-FP8
F10,F,open_summary_with_canonical_claim,1,10,oracle_evidence,,True,AVGO,1.0,True,0.8556886672556694,0.3250829733914482,0.5306056938642212,0.9056886672556694,0.3750829733914482,0.5306056938642212,0.7788813907161496,0.29590327428938457,0.4829781164267651,0.6200919962700436,claim_true,0.05,0.0,0.1,"{""claim_true"": 0.5, ""claim_false"": 0.45, ""mixed"": 0.05}",0.3250829733914482,0.3250829733914482,10,10,0.5,True,0.455,0.8109302162163288,0.1,0.9,vllm:Qwen/Qwen3.6-27B-FP8
F11,F,yes_no_mixed,0,10,oracle_evidence,,True,TSLA,1.0,True,0.6874357505033553,0.611514349124114,0.0759214013792413,0.7374357505033553,0.686514349124114,0.05092140137924128,0.4958800740904867,0.44111435945690075,0.05476571463358597,0.11044145045358787,yes,0.25,0.1,0.4,"{""yes"": 0.75, ""no"": 0.0, ""mixed"": 0.2, ""insufficient_data"": 0.05}",0.3250829733914482,0.8979457248567798,10,10,0.75,True,0.10500000000000001,0.5389965007326869,0.9,0.6,vllm:Qwen/Qwen3.6-27B-FP8
F11,F,yes_no_mixed,1,10,oracle_evidence,,True,TSLA,1.0,True,0.1985152433458726,0.1625414866957241,0.035973756650148486,0.22351524334587258,0.1875414866957241,0.035973756650148486,0.1431984785579781,0.11724889839732029,0.025949580160657796,0.18121407728610292,yes,0.05,0.0,0.1,"{""yes"": 0.95, ""no"": 0.0, ""mixed"": 0.05, ""insufficient_data"": 0.0}",-0.0,0.3250829733914482,10,10,0.95,True,0.0050000000000000044,0.33314444652853825,1.0,0.9,vllm:Qwen/Qwen3.6-27B-FP8
F12,F,company_choice,0,10,oracle_evidence,,False,AAPL|MSFT|GOOGL,1.0,True,0.6108643020548935,0.33650583350462826,0.27435846855026524,0.6358643020548935,0.3615058335046283,0.27435846855026524,0.44064544961534635,0.2427376486136672,0.19790780100167915,0.4491316117627886,MSFT,0.0,0.0,0.0,"{""AAPL"": 0.0, ""MSFT"": 0.7, ""GOOGL"": 0.3, ""insufficient_data"": 0.0}",0.6730116670092565,-0.0,10,10,0.3,False,0.9799999999999999,1.2611312181658847,0.6,0.0,vllm:Qwen/Qwen3.6-27B-FP8
F12,F,company_choice,1,10,oracle_evidence,,False,AAPL|MSFT|GOOGL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,GOOGL,0.0,0.0,0.0,"{""AAPL"": 0.0, ""MSFT"": 0.0, ""GOOGL"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,vllm:Qwen/Qwen3.6-27B-FP8
F13,F,yes_no_mixed,0,10,oracle_evidence,,True,NFLX,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,no,0.0,0.0,0.0,"{""yes"": 0.0, ""no"": 1.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,vllm:Qwen/Qwen3.6-27B-FP8
F13,F,yes_no_mixed,1,10,oracle_evidence,,True,NFLX,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,no,0.0,0.0,0.0,"{""yes"": 0.0, ""no"": 1.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,vllm:Qwen/Qwen3.6-27B-FP8
