model,question_id,lane,gold,predicted,endorsed_by_reference
gemma4,F10,F,claim_true,claim_false,False
gemma4,F12,F,GOOGL,MSFT,False
gemma4,F17,F,claim_true,claim_false,False
gemma4,F21,F,MSFT,AAPL,False
gemma4,F22,F,claim_true,claim_false,False
gemma4,F32,F,claim_true,claim_false,False
gemma4,F35,F,claim_true,claim_false,False
gemma4,F50,F,APP,NVDA,False
gemma4,T16,T,PLTR,DASH,False
gemma4,T19,T,INTC,TRI,False
gemma4,T2,T,INTC,LRCX,True
gemma4,T27,T,MU,APP,False
gemma4,T29,T,INTC,LRCX,True
gemma4,T3,T,PLTR,APP,True
gemma4,T31,T,APP,WBD,True
gemma4,T35,T,TRI,TEAM,False
gemma4,T38,T,APP,LRCX,True
gemma4,T4,T,SHOP,WBD,True
gemma4,T44,T,INTC,TRI,False
gemma4,T48,T,INTC,CMCSA,True
gemma4,T49,T,NVDA,LRCX,True
gemma4,T50,T,LRCX,MU,False
gemma4,T6,T,EA,CPRT,False
gemma4,T9,T,TSLA,NVDA,False
qwen3:8b,F21,F,MSFT,AAPL,False
qwen3:8b,F29,F,QCOM,INTC,True
qwen3:8b,F34,F,more_efficient,similar,False
qwen3:8b,F41,F,KHC,CCEP,False
qwen3:8b,F45,F,high_buybacks,similar,False
qwen3:8b,F50,F,APP,NVDA,False
qwen3:8b,F8,F,higher,similar,False
qwen3:8b,FT27,FT,aligned,diverged,False
qwen3:8b,FT29,FT,yes,no,False
qwen3:8b,FT32,FT,underperformance_ahead,attractive_stability,False
qwen3:8b,FT47,FT,fully_priced,underpriced,False
qwen3:8b,T16,T,PLTR,APP,True
qwen3:8b,T19,T,INTC,TRI,False
qwen3:8b,T2,T,INTC,MU,True
qwen3:8b,T21,T,INTC,MRVL,False
qwen3:8b,T27,T,MU,APP,False
qwen3:8b,T29,T,INTC,APP,True
qwen3:8b,T3,T,PLTR,APP,True
qwen3:8b,T31,T,APP,WBD,True
qwen3:8b,T35,T,TRI,TEAM,False
qwen3:8b,T37,T,KDP,TTD,False
qwen3:8b,T4,T,SHOP,WBD,True
qwen3:8b,T44,T,INTC,ASML,False
qwen3:8b,T45,T,IDXX,MRVL,True
qwen3:8b,T46,T,WBD,APP,True
qwen3:8b,T47,T,CMCSA,TRI,False
qwen3:8b,T48,T,INTC,CMCSA,True
qwen3:8b,T50,T,LRCX,APP,False
qwen3:8b,T6,T,EA,CPRT,False
qwen3.6-27b,F17,F,claim_true,claim_false,False
qwen3.6-27b,F50,F,APP,NVDA,False
qwen3.6-27b,FT45,FT,contrarian_value_play,value_trap,False
qwen3.6-27b,T11,T,GEHC,GFS,True
qwen3.6-27b,T14,T,IDXX,MRVL,False
qwen3.6-27b,T19,T,INTC,TRI,False
qwen3.6-27b,T2,T,INTC,LRCX,True
qwen3.6-27b,T20,T,TXN,TTD,True
qwen3.6-27b,T21,T,INTC,MRVL,False
qwen3.6-27b,T27,T,MU,LRCX,False
qwen3.6-27b,T29,T,INTC,MU,True
qwen3.6-27b,T31,T,APP,WBD,True
qwen3.6-27b,T37,T,KDP,TTD,False
qwen3.6-27b,T38,T,APP,MU,False
qwen3.6-27b,T4,T,SHOP,WBD,True
qwen3.6-27b,T41,T,APP,WBD,False
qwen3.6-27b,T42,T,APP,GOOGL,False
qwen3.6-27b,T44,T,INTC,TRI,False
qwen3.6-27b,T45,T,IDXX,MRVL,True
qwen3.6-27b,T46,T,WBD,APP,True
qwen3.6-27b,T47,T,CMCSA,KDP,False
qwen3.6-27b,T48,T,INTC,AMAT,True
qwen3.6-27b,T8,T,APP,TTD,False
qwen3.6-27b,T9,T,TSLA,NVDA,False
gemma4-31b-it,F21,F,MSFT,AAPL,False
gemma4-31b-it,F42,F,no,yes,False
gemma4-31b-it,F50,F,APP,NVDA,False
gemma4-31b-it,FT3,FT,no,yes,False
gemma4-31b-it,FT45,FT,contrarian_value_play,value_trap,False
gemma4-31b-it,T14,T,IDXX,MRVL,False
gemma4-31b-it,T16,T,PLTR,APP,True
gemma4-31b-it,T19,T,INTC,TRI,False
gemma4-31b-it,T2,T,INTC,MU,True
gemma4-31b-it,T20,T,TXN,KDP,True
gemma4-31b-it,T21,T,INTC,MU,False
gemma4-31b-it,T22,T,APP,KLAC,True
gemma4-31b-it,T27,T,MU,LRCX,False
gemma4-31b-it,T29,T,INTC,MU,True
gemma4-31b-it,T31,T,APP,WBD,True
gemma4-31b-it,T37,T,KDP,TTD,False
gemma4-31b-it,T38,T,APP,MU,False
gemma4-31b-it,T4,T,SHOP,WBD,True
gemma4-31b-it,T44,T,INTC,TRI,False
gemma4-31b-it,T45,T,IDXX,MRVL,True
gemma4-31b-it,T46,T,WBD,APP,True
gemma4-31b-it,T47,T,CMCSA,TEAM,False
gemma4-31b-it,T48,T,INTC,AMAT,True
gemma4-31b-it,T9,T,TSLA,NVDA,False
