question_id,lane,answer_type,round,K,evidence_mode,intervention,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_noncommit,p_noncommit_fundamental,p_noncommit_trading,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,model
F14,F,yes_no_mixed,0,10,oracle_evidence,,True,PYPL,1.0,True,0.5004024235381879,0.33650583350462826,0.1638965900335596,0.5254024235381879,0.3615058335046283,0.1638965900335596,0.36096404744368116,0.2427376486136672,0.11822639883001398,0.3275295688512027,no,0.2,0.0,0.4,"{""yes"": 0.0, ""no"": 0.8, ""mixed"": 0.0, ""insufficient_data"": 0.2}",-0.0,0.6730116670092565,10,10,0.8,True,0.07999999999999999,0.4834266495778762,1.0,0.6,qwen3:8b
F14,F,yes_no_mixed,1,10,oracle_evidence,,True,PYPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,no,0.0,0.0,0.0,"{""yes"": 0.0, ""no"": 1.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,qwen3:8b
F17,F,open_summary_with_canonical_claim,0,10,oracle_evidence,,True,CSCO,1.0,True,0.6931471805599453,0.0,0.6931471805599453,0.7181471805599453,0.0,0.7181471805599453,0.6309297535714574,0.0,0.6309297535714574,1.0,claim_true,0.5,0.0,1.0,"{""claim_true"": 0.5, ""claim_false"": 0.0, ""mixed"": 0.5}",-0.0,-0.0,10,10,0.5,True,0.5,0.8109302162163288,1.0,0.0,qwen3:8b
F17,F,open_summary_with_canonical_claim,1,10,oracle_evidence,,True,CSCO,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""claim_true"": 0.0, ""claim_false"": 0.0, ""mixed"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.1972245773362196,0.0,0.0,qwen3:8b
F26,F,valuation_judgment,0,10,oracle_evidence,,True,PYPL,1.0,True,0.6931471805599453,0.6108643020548935,0.08228287850505178,0.7181471805599453,0.6608643020548935,0.05728287850505176,0.5,0.44064544961534635,0.05935455038465365,0.1187091007693073,fairly_priced,0.5,0.7,0.3,"{""undervalued"": 0.0, ""fairly_priced"": 0.5, ""overvalued"": 0.0, ""insufficient_data"": 0.5}",0.6108643020548935,0.6108643020548935,10,10,0.0,False,1.5,2.4849066497880004,0.0,0.0,qwen3:8b
F26,F,valuation_judgment,1,10,oracle_evidence,,True,PYPL,1.0,True,0.6931471805599453,0.0,0.6931471805599453,0.7181471805599453,0.0,0.7181471805599453,0.5,0.0,0.5,1.0,fairly_priced,0.5,0.0,1.0,"{""undervalued"": 0.0, ""fairly_priced"": 0.5, ""overvalued"": 0.0, ""insufficient_data"": 0.5}",-0.0,-0.0,10,10,0.0,False,1.5,2.4849066497880004,0.0,0.0,qwen3:8b
F28,F,valuation_judgment,0,10,oracle_evidence,,True,ADBE,1.0,True,0.1985152433458726,0.1625414866957241,0.035973756650148486,0.22351524334587258,0.1875414866957241,0.035973756650148486,0.1431984785579781,0.11724889839732029,0.025949580160657796,0.18121407728610292,fair,0.05,0.0,0.1,"{""expensive"": 0.0, ""fair"": 0.95, ""cheap"": 0.0, ""insufficient_data"": 0.05}",-0.0,0.3250829733914482,10,10,0.0,False,1.9049999999999998,2.4849066497880004,0.0,0.0,qwen3:8b
F28,F,valuation_judgment,1,10,oracle_evidence,,True,ADBE,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,fair,0.0,0.0,0.0,"{""expensive"": 0.0, ""fair"": 1.0, ""cheap"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,qwen3:8b
F38,F,category_choice,0,10,oracle_evidence,,False,CSCO,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,productive,0.0,0.0,0.0,"{""productive"": 1.0, ""aging"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,qwen3:8b
F38,F,category_choice,1,10,oracle_evidence,,False,CSCO,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""productive"": 0.0, ""aging"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,qwen3:8b
F46,F,category_choice,0,10,oracle_evidence,,True,PYPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,smart_allocation,0.0,0.0,0.0,"{""red_flag"": 0.0, ""smart_allocation"": 1.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,qwen3:8b
F46,F,category_choice,1,10,oracle_evidence,,True,PYPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,smart_allocation,0.0,0.0,0.0,"{""red_flag"": 0.0, ""smart_allocation"": 1.0, ""mixed"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,qwen3:8b
FT13,FT,supportive_judgment,0,10,oracle_evidence,,False,PEP,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,conditional,1.0,1.0,1.0,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,qwen3:8b
FT13,FT,supportive_judgment,1,10,oracle_evidence,,False,PEP,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,conditional,1.0,1.0,1.0,"{""supportive"": 0.0, ""unsupportive"": 0.0, ""conditional"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,qwen3:8b
FT15,FT,category_choice,0,10,oracle_evidence,,True,PYPL,1.0,True,0.6931471805599453,0.3250829733914482,0.3680642071684971,0.7181471805599453,0.3750829733914482,0.3430642071684971,0.5,0.23449779679464058,0.2655022032053594,0.5310044064107188,value_trap,0.5,0.1,0.9,"{""value_trap"": 0.5, ""genuine_opportunity"": 0.0, ""mixed"": 0.5, ""insufficient_data"": 0.0}",0.3250829733914482,0.3250829733914482,10,10,0.5,True,0.5,0.8754687373538999,0.9,0.1,qwen3:8b
