question_id,lane,answer_type,round,K,evidence_mode,intervention,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_noncommit,p_noncommit_fundamental,p_noncommit_trading,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,arm,intervention_desc
F1,F,yes_no_mixed,0,10,intervention,remove_top,True,AAPL,1.0,True,0.6730116670092565,0.25020121176909393,0.4228104552401626,0.6980116670092565,0.27520121176909396,0.4228104552401626,0.4854752972273344,0.18048202372184058,0.3049932735054938,0.6282364421987758,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.6, ""insufficient_data"": 0.4}",-0.0,0.5004024235381879,10,10,0.6,True,0.32000000000000006,0.7270487322356266,1.0,0.2,remove_top,removed_golden:ROA->['F_Return on Assets']
F1,F,yes_no_mixed,0,10,intervention,remove_placebo,True,AAPL,1.0,True,0.6730116670092565,0.46797363772317085,0.20503802928608567,0.6980116670092565,0.5179736377231708,0.1800380292860857,0.4854752972273344,0.33757162320499345,0.14790367402234092,0.30465746633671004,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.6, ""insufficient_data"": 0.4}",0.3250829733914482,0.6108643020548935,10,10,0.6,True,0.32,0.7270487322356266,0.9,0.3,remove_placebo,removed_placebo:['F_Cash Flow/Assets']
F1,F,yes_no_mixed,0,10,intervention,inject_conflict,True,AAPL,1.0,True,0.5004024235381879,0.33650583350462826,0.1638965900335596,0.5254024235381879,0.3615058335046283,0.1638965900335596,0.36096404744368116,0.2427376486136672,0.11822639883001398,0.3275295688512027,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.8, ""insufficient_data"": 0.2}",-0.0,0.6730116670092565,10,10,0.8,True,0.07999999999999999,0.4834266495778762,1.0,0.6,inject_conflict,inject_conflict:bearish_tech_vs_bullish_fund
F1,F,yes_no_mixed,0,10,oracle_evidence,horizon_short,True,AAPL,1.0,True,0.5004024235381879,0.46797363772317085,0.032428785815017014,0.5254024235381879,0.5179736377231708,0.007428785815017047,0.36096404744368116,0.33757162320499345,0.023392424238687703,0.06480541318270061,insufficient_data,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.2, ""insufficient_data"": 0.8}",0.6108643020548935,0.3250829733914482,10,10,0.2,False,1.2800000000000002,1.529395204760564,0.3,0.1,horizon_short,horizon_short
F1,F,yes_no_mixed,0,10,oracle_evidence,horizon_long,True,AAPL,1.0,True,0.6730116670092565,0.46797363772317085,0.20503802928608567,0.6980116670092565,0.5179736377231708,0.1800380292860857,0.4854752972273344,0.33757162320499345,0.14790367402234092,0.30465746633671004,insufficient_data,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.4, ""insufficient_data"": 0.6}",0.6108643020548935,0.3250829733914482,10,10,0.39999999999999997,False,0.7200000000000001,1.0498221244986778,0.7,0.1,horizon_long,horizon_long
F10,F,open_summary_with_canonical_claim,0,10,intervention,remove_top,True,AVGO,0.7,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,claim_false,0.0,0.0,0.0,"{""claim_true"": 0.0, ""claim_false"": 1.0, ""mixed"": 0.0}",-0.0,-0.0,10,4,0.0,False,2.0,2.1972245773362196,0.0,0.0,remove_top,removed_golden:ROE->['F_Return on Equity']
F10,F,open_summary_with_canonical_claim,0,10,intervention,remove_placebo,True,AVGO,0.6,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,claim_false,0.0,0.0,0.0,"{""claim_true"": 0.0, ""claim_false"": 1.0, ""mixed"": 0.0}",-0.0,-0.0,10,2,0.0,False,2.0,2.1972245773362196,0.0,0.0,remove_placebo,removed_placebo:['F_Cash Flow/Assets']
F10,F,open_summary_with_canonical_claim,0,10,intervention,inject_conflict,True,AVGO,0.75,True,0.3250829733914482,0.25020121176909393,0.07488176162235427,0.35841630672478153,0.3002012117690939,0.05821509495568761,0.29590327428938457,0.2277429575017976,0.06816031678758694,0.23034661225454434,mixed,0.9,0.8,1.0,"{""claim_true"": 0.0, ""claim_false"": 0.1, ""mixed"": 0.9}",0.5004024235381879,-0.0,5,10,0.0,False,1.82,2.1972245773362196,0.0,0.0,inject_conflict,inject_conflict:bearish_tech_vs_bullish_fund
F10,F,open_summary_with_canonical_claim,0,10,oracle_evidence,horizon_short,True,AVGO,0.8,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""claim_true"": 0.0, ""claim_false"": 0.0, ""mixed"": 1.0}",-0.0,-0.0,7,9,0.0,False,2.0,2.1972245773362196,0.0,0.0,horizon_short,horizon_short
F10,F,open_summary_with_canonical_claim,0,10,oracle_evidence,horizon_long,True,AVGO,0.85,True,0.6931471805599453,0.0,0.6931471805599453,0.7225589452658276,0.0,0.7225589452658276,0.6309297535714574,0.0,0.6309297535714574,1.0,claim_false,0.5,0.0,1.0,"{""claim_true"": 0.0, ""claim_false"": 0.5, ""mixed"": 0.5}",-0.0,-0.0,7,10,0.0,False,1.5,2.1972245773362196,0.0,0.0,horizon_long,horizon_long
