question_id,lane,answer_type,round,K,evidence_mode,intervention,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_noncommit,p_noncommit_fundamental,p_noncommit_trading,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,error,model,source_benchmark,hedgeqa_transformation,gold_commitment
hqa_CFQ_05f42dea,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,qwen3.6:35b-a3b-q8_0,convfinqa,numeric_to_directional,committed
hqa_CFQ_05f42dea,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,qwen3.6:35b-a3b-q8_0,convfinqa,numeric_to_directional,committed
hqa_CFQ_07480310,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,qwen3.6:35b-a3b-q8_0,convfinqa,numeric_to_directional,committed
hqa_CFQ_07480310,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,qwen3.6:35b-a3b-q8_0,convfinqa,numeric_to_directional,committed
hqa_CFQ_08d45061,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,qwen3.6:35b-a3b-q8_0,convfinqa,numeric_to_directional,committed
hqa_CFQ_08d45061,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,decreased,0.0,0.0,0.0,"{""increased"": 0.0, ""decreased"": 1.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,qwen3.6:35b-a3b-q8_0,convfinqa,numeric_to_directional,committed
hqa_CFQ_1279a468_masked,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,0.5004024235381879,0.5004024235381879,0.0,0.5254024235381879,0.5504024235381879,0.0,0.36096404744368116,0.36096404744368116,0.0,0.0,insufficient_data,0.8,0.8,0.8,"{""increased"": 0.2, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.8}",0.5004024235381879,0.5004024235381879,10,10,0.8,True,0.07999999999999999,0.4834266495778762,0.8,0.8,,qwen3.6:35b-a3b-q8_0,convfinqa,evidence_masked_insufficient,noncommitted
hqa_CFQ_1279a468_masked,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,0.6881388137135884,0.5556333627965406,0.1325054509170478,0.7131388137135884,0.6056333627965407,0.10750545091704777,0.49638722699390414,0.4008047485295137,0.0955824784643904,0.19255628119851723,insufficient_data,0.55,0.8,0.3,"{""increased"": 0.45, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 0.55}",0.5004024235381879,0.6108643020548935,10,10,0.55,True,0.4049999999999999,0.7985076962177716,0.8,0.3,,qwen3.6:35b-a3b-q8_0,convfinqa,evidence_masked_insufficient,noncommitted
hqa_CFQ_13c20530_masked,F,directional_change,0,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""increased"": 0.0, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,qwen3.6:35b-a3b-q8_0,convfinqa,evidence_masked_insufficient,noncommitted
hqa_CFQ_13c20530_masked,F,directional_change,1,10,hedgeqa_oracle,,False,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""increased"": 0.0, ""decreased"": 0.0, ""roughly_unchanged"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,,qwen3.6:35b-a3b-q8_0,convfinqa,evidence_masked_insufficient,noncommitted
