bench,label,scope,n,err,sd,mean,auc
FinTradeBench,gemma4,all lanes,50,24,0.14205219650048445,0.0535,0.4463141025641026
FinTradeBench,gemma4 [F],F,15,8,0.18093671611393644,0.08333333333333333,0.5446428571428571
FinTradeBench,gemma4 [T],T,33,16,0.09576125418471869,0.02803030303030303,0.4099264705882353
FinTradeBench,qwen3:8b,all lanes,71,29,0.17354743522634336,0.07887323943661971,0.40311986863711
FinTradeBench,qwen3:8b [F],F,23,7,0.21490874982417105,0.13695652173913045,0.5223214285714286
FinTradeBench,qwen3:8b [FT],FT,13,4,0.2197025961822727,0.1423076923076923,0.2222222222222222
FinTradeBench,qwen3:8b [T],T,35,18,0.08570027896760928,0.017142857142857144,0.4411764705882353
FinTradeBench,qwen3.6-27b,all lanes,75,24,0.09269245865706602,0.040999999999999995,0.4076797385620915
FinTradeBench,qwen3.6-27b [F],F,30,2,0.07119666788018507,0.04000000000000001,0.5892857142857143
FinTradeBench,qwen3.6-27b [T],T,36,21,0.022658174179374144,0.00625,0.48253968253968255
FinTradeBench,gemma4-31b-it,all lanes,78,24,0.2018273166205847,0.10961538461538463,0.4367283950617284
FinTradeBench,gemma4-31b-it [F],F,26,3,0.16249260338195753,0.05961538461538462,0.5797101449275363
FinTradeBench,gemma4-31b-it [FT],FT,18,2,0.22622217085916954,0.35000000000000003,0.71875
FinTradeBench,gemma4-31b-it [T],T,34,19,0.08381766561721173,0.020588235294117647,0.49473684210526314
FinanceBench,qwen3:8b (FB),yes/no,18,5,0.2546463650669887,0.24722222222222223,0.8153846153846154
