question_id,lane,gold,n_entities_named,set_collapse,gold_entity_no_data,superlative_contradicted,superlative_detail,orphan_numbers,n_orphan_numbers,evidence_chars
F1,F,mixed,0,False,False,False,,,0,796
F10,F,claim_true,0,False,False,False,,,0,793
F11,F,yes,0,False,False,False,,,0,796
F12,F,GOOGL,1,False,False,False,,,0,2392
F13,F,no,0,False,False,False,,,0,804
F14,F,no,0,False,False,False,,4.05 15.99,2,792
F15,F,sound,0,False,False,False,,,0,794
F16,F,no,0,False,False,False,,,0,801
F17,F,claim_true,0,False,False,False,,,0,794
F18,F,yes,0,False,False,False,,,0,799
F19,F,AMD,1,False,False,False,,,0,1590
F2,F,GOOGL,2,True,False,False,,,0,1594
F20,F,no,0,False,False,False,,,0,796
F21,F,MSFT,0,False,False,False,,,0,1591
F22,F,claim_true,0,False,False,False,,,0,796
F23,F,expensive,0,False,False,False,,,0,0
F24,F,growth,0,False,False,False,,,0,794
F25,F,insufficient_data,0,False,False,False,,,0,866
F26,F,undervalued,0,False,False,False,,,0,795
F27,F,claim_true,0,False,False,False,,,0,797
F28,F,expensive,0,False,False,False,,,0,800
F29,F,QCOM,2,True,False,False,,,0,1591
F3,F,insufficient_data,0,False,False,False,,,0,796
F30,F,mixed,0,False,False,False,,,0,800
F31,F,COST,1,False,False,False,,0.8374,1,1664
F32,F,claim_true,0,False,False,False,,,0,1598
F33,F,no,0,False,False,False,,,0,796
F34,F,more_efficient,0,False,False,False,,,0,798
F35,F,claim_true,0,False,False,False,,,0,795
F36,F,no,0,False,False,False,,,0,796
F37,F,AAPL,0,False,False,False,,,0,1602
F38,F,aging,0,False,False,False,,,0,791
F39,F,moderate,0,False,False,False,,,0,793
F4,F,yes,0,False,False,False,,,0,794
F40,F,insufficient_data,0,False,False,False,,,0,868
F41,F,KHC,1,False,False,False,,,0,3163
F42,F,no,0,False,False,False,,,0,1591
F43,F,yes,0,False,False,False,,,0,796
F44,F,claim_true,0,False,False,False,,,0,1603
F45,F,high_buybacks,0,False,False,False,,,0,0
F46,F,smart_allocation,0,False,False,False,,,0,790
F47,F,premise_false,0,False,False,False,,,0,795
F49,F,no,0,False,False,False,,,0,0
F5,F,yes,0,False,False,False,,6.38,1,801
F50,F,APP,1,False,False,True,highest roa: reference says APP (0.1489) but NVDA (0.2131) wins,,0,3974
F6,F,mixed,0,False,False,False,,,0,1598
F7,F,mixed,0,False,False,False,,,0,795
F8,F,higher,0,False,False,False,,6.36 13.28,2,804
F9,F,no,0,False,False,False,,,0,799
FT1,FT,conditional,0,False,False,False,,,0,797
FT10,FT,supportive,0,False,False,False,,,0,794
FT11,FT,unsupportive,0,False,False,False,,,0,798
FT12,FT,yes,0,False,False,False,,,0,795
FT13,FT,unsupportive,0,False,False,False,,,0,798
FT14,FT,take_profits,0,False,False,False,,,0,794
FT15,FT,value_trap,0,False,False,False,,,0,797
FT16,FT,unsupportive,0,False,False,False,,,0,797
FT17,FT,mixed,0,False,False,False,,,0,795
FT18,FT,supportive,0,False,False,False,,,0,791
FT19,FT,insufficient_data,0,False,False,False,,,0,0
FT2,FT,unsupportive,0,False,False,False,,,0,796
FT20,FT,no,0,False,False,False,,,0,796
FT21,FT,wait,0,False,False,False,,,0,793
FT22,FT,mixed,0,False,False,False,,,0,792
FT23,FT,conditional,0,False,False,False,,,0,800
FT24,FT,yes,0,False,False,False,,,0,794
FT25,FT,conditional,0,False,False,False,,,0,804
FT26,FT,yes,0,False,False,False,,,0,796
FT27,FT,aligned,0,False,False,False,,,0,795
FT28,FT,no,0,False,False,False,,,0,796
FT29,FT,yes,0,False,False,False,,,0,798
FT3,FT,no,0,False,False,False,,,0,793
FT30,FT,mixed,0,False,False,False,,,0,800
FT31,FT,conditional,0,False,False,False,,,0,798
FT32,FT,underperformance_ahead,0,False,False,False,,,0,795
FT33,FT,buying_opportunity,0,False,False,False,,,0,795
FT34,FT,claim_true,0,False,False,False,,,0,793
FT35,FT,yes,0,False,False,False,,,0,794
FT36,FT,yes,0,False,False,False,,,0,801
FT37,FT,strategic_moats,0,False,False,False,,,0,801
FT38,FT,no,0,False,False,False,,,0,798
FT39,FT,yes,0,False,False,False,,,0,798
FT4,FT,yes,0,False,False,False,,,0,797
FT40,FT,yes,0,False,False,False,,,0,804
FT41,FT,reinvestment_opportunity,0,False,False,False,,,0,804
FT42,FT,mixed,0,False,False,False,,,0,800
FT43,FT,wait_for_confirmation,0,False,False,False,,,0,797
FT44,FT,mixed,0,False,False,False,,,0,795
FT45,FT,contrarian_value_play,0,False,False,False,,,0,795
FT46,FT,diversification_offsets,0,False,False,False,,,0,795
FT47,FT,fully_priced,0,False,False,False,,,0,1592
FT48,FT,no,0,False,False,False,,,0,798
FT49,FT,mixed,0,False,False,False,,,0,1602
FT5,FT,hold,0,False,False,False,,,0,796
FT50,FT,mixed,0,False,False,False,,,0,798
FT6,FT,no,0,False,False,False,,,0,798
FT7,FT,no,0,False,False,False,,,0,796
FT8,FT,unsupportive,0,False,False,False,,,0,798
FT9,FT,mixed,0,False,False,False,,,0,795
T1,T,APP,1,False,False,False,,,0,3963
T10,T,AAPL,3,True,False,False,,,0,3991
T11,T,GEHC,2,True,False,False,,,0,3144
T12,T,NVDA,4,True,False,False,,,0,3989
T13,T,WBD,4,True,False,False,,,0,3965
T14,T,IDXX,1,False,False,False,,,0,3174
T16,T,PLTR,2,True,False,False,,,0,3968
T17,T,none_clear,0,False,False,False,,,0,3186
T19,T,INTC,1,False,False,False,,79.22,1,3170
T2,T,INTC,5,True,False,False,,,0,3968
T20,T,TXN,4,True,False,False,,,0,3182
T21,T,INTC,1,False,False,False,,23.93,1,3975
T22,T,APP,5,True,False,False,,,0,3915
T23,T,MU,2,True,False,False,,,0,3192
T24,T,APP,1,False,False,False,,,0,3169
T27,T,MU,1,False,False,False,,,0,3168
T29,T,INTC,5,True,False,False,,,0,3968
T3,T,PLTR,5,True,False,False,,,0,3962
T31,T,APP,3,True,False,False,,,0,3176
T32,T,APP,5,True,False,False,,,0,3970
T33,T,APP,1,False,False,False,,,0,3180
T34,T,CPRT,3,True,False,False,,,0,3120
T35,T,TRI,1,False,False,False,,,0,3158
T37,T,KDP,2,True,False,False,,,0,3182
T38,T,APP,2,True,False,False,,,0,3175
T4,T,SHOP,3,True,False,False,,,0,3161
T40,T,PLTR,4,True,False,False,,,0,3187
T41,T,APP,3,True,False,False,,,0,3168
T42,T,APP,2,True,False,False,,,0,3176
T44,T,INTC,1,False,False,False,,,0,3106
T45,T,IDXX,3,True,False,False,,,0,3174
T46,T,WBD,5,True,False,False,,,0,3965
T47,T,CMCSA,1,False,False,False,,,0,3166
T48,T,INTC,4,True,False,False,,,0,3186
T49,T,NVDA,3,True,False,False,,,0,3183
T50,T,LRCX,1,False,False,False,,,0,3966
T6,T,EA,3,True,False,False,,,0,3196
T7,T,none_clear,1,False,False,False,,,0,3184
T8,T,APP,1,False,False,False,,,0,3181
T9,T,TSLA,1,False,False,True,highest obv: reference says TSLA (22958088131.0000) but NVDA (166277664172.0000) wins,,0,3183
