q,lane,outcome,flow,cms,prd
F1,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F10,F,STABLE_FAILURE,FALSE_CONSENSUS,True,False
F11,F,STABLE_FAILURE,MIXED_FLOW,False,False
F12,F,STABLE_SUCCESS,NOISE_REDUCTION,False,False
F13,F,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,False,False
F14,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F15,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F16,F,STABLE_FAILURE,FALSE_CONSENSUS,False,False
F17,F,STABLE_FAILURE,FALSE_CONSENSUS,False,False
F18,F,STABLE_FAILURE,MIXED_FLOW,False,False
F19,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F2,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F20,F,STABLE_SUCCESS,MIXED_FLOW,False,True
F21,F,STABLE_FAILURE,MIXED_FLOW,False,False
F22,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F23,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F24,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F25,F,DEBATE_RESCUE,PRODUCTIVE_CONVERGENCE,False,False
F26,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F27,F,CORRECTNESS_LOST,FALSE_CONSENSUS,False,False
F28,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F29,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F3,F,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,False,False
F30,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F31,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F32,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F33,F,STABLE_SUCCESS,MIXED_FLOW,False,True
F34,F,CORRECTNESS_LOST,FALSE_CONSENSUS,False,False
F35,F,STABLE_SUCCESS,MIXED_FLOW,False,True
F36,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,True
F37,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F38,F,STABLE_FAILURE,MIXED_FLOW,False,False
F39,F,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,False,False
F4,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F40,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F41,F,STABLE_FAILURE,MIXED_FLOW,False,False
F42,F,STABLE_SUCCESS,ALEATORIC_DESTABILIZATION,False,True
F43,F,STABLE_FAILURE,MIXED_FLOW,False,False
F44,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F45,F,STABLE_FAILURE,FALSE_CONSENSUS,True,False
F46,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F47,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F49,F,STABLE_FAILURE,FALSE_CONSENSUS,False,False
F5,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F50,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F6,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F7,F,DEBATE_RESCUE,PRODUCTIVE_CONVERGENCE,False,False
F8,F,CORRECTNESS_LOST,MIXED_FLOW,False,False
F9,F,STABLE_FAILURE,MIXED_FLOW,False,False
FT1,FT,STABLE_FAILURE,MIXED_FLOW,False,True
FT10,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT11,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,True
FT12,FT,STABLE_SUCCESS,ALEATORIC_DESTABILIZATION,False,False
FT13,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT14,FT,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,False,False
FT15,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT16,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT17,FT,DEBATE_RESCUE,PRODUCTIVE_CONVERGENCE,False,False
FT18,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT19,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT2,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT20,FT,STABLE_SUCCESS,MIXED_FLOW,False,True
FT21,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT22,FT,STABLE_FAILURE,MIXED_FLOW,False,True
FT23,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT24,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT25,FT,STABLE_SUCCESS,NOISE_REDUCTION,False,False
FT26,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT27,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT28,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT29,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT3,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT30,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT31,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT32,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT33,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT34,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT35,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT36,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT37,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT38,FT,STABLE_FAILURE,MIXED_FLOW,False,True
FT39,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT4,FT,CORRECTNESS_LOST,ALEATORIC_DESTABILIZATION,False,False
FT40,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT41,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT42,FT,STABLE_SUCCESS,MIXED_FLOW,False,True
FT43,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,True
FT44,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT45,FT,STABLE_SUCCESS,MIXED_FLOW,False,True
FT46,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT47,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT48,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT49,FT,CORRECTNESS_LOST,MIXED_FLOW,False,True
FT5,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT50,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,True
FT6,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT7,FT,CORRECTNESS_LOST,FALSE_CONSENSUS,False,False
FT8,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT9,FT,DEBATE_RESCUE,MIXED_FLOW,False,True
T1,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T10,T,STABLE_SUCCESS,MIXED_FLOW,False,True
T11,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T12,T,STABLE_SUCCESS,MIXED_FLOW,False,True
T13,T,STABLE_SUCCESS,MIXED_FLOW,False,True
T14,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,True
T16,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T17,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T19,T,STABLE_FAILURE,MIXED_FLOW,False,False
T2,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T20,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T21,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T22,T,STABLE_SUCCESS,MIXED_FLOW,False,True
T23,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T24,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T27,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T29,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T3,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T31,T,CORRECTNESS_LOST,FALSE_CONSENSUS,False,True
T32,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T33,T,STABLE_SUCCESS,NOISE_REDUCTION,False,False
T34,T,STABLE_FAILURE,FALSE_CONSENSUS,False,False
T35,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T37,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T38,T,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
T4,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T40,T,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,False,False
T41,T,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,False,False
T42,T,STABLE_SUCCESS,MIXED_FLOW,False,True
T44,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T45,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T46,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T47,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T48,T,STABLE_FAILURE,MIXED_FLOW,False,False
T49,T,STABLE_SUCCESS,MIXED_FLOW,False,True
T50,T,CORRECTNESS_LOST,FALSE_CONSENSUS,False,True
T6,T,STABLE_FAILURE,MIXED_FLOW,False,False
T7,T,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
T8,T,STABLE_FAILURE,MIXED_FLOW,False,False
T9,T,STABLE_SUCCESS,MIXED_FLOW,False,True
