ExcelRow,FakeTicker,MissingWorkbookFields,Q1_Valuation,Q1_TradingInputs,Q2_CoreHolding,Q3_Confidence,PriceVsSMA50_Percent,PriceSMARatioCheck
3,UDAX,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,2.82,Consistent within displayed rounding
4,IHHE,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,11.51,Consistent within displayed rounding
5,XDVX,PB_Ratio,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,-8.38,Consistent within displayed rounding
6,RCSN,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,16.7,Consistent within displayed rounding
7,BACG,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,-6.05,Consistent within displayed rounding
8,HQTA,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,11.76,Consistent within displayed rounding
9,RGWU,PE_Ratio,Limited: sector-average P/E absent; company P/E also missing,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,5.9,Consistent within displayed rounding
10,WRNH,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,1.56,Consistent within displayed rounding
11,OSIZ,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,9.32,Consistent within displayed rounding
12,AYZF,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,-2.29,Consistent within displayed rounding
13,WNKI,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,20.26,Consistent within displayed rounding
14,EGYK,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,4.41,Consistent within displayed rounding
15,DCMD,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,-1.5,Consistent within displayed rounding
16,LLTI,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,1.07,Consistent within displayed rounding
17,ZBXO,PE_Ratio; EV_EBITDA,Limited: sector-average P/E absent; company P/E also missing,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,64.07,Consistent within displayed rounding
18,RDMC,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,-4.95,Consistent within displayed rounding
19,RJUT,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,4.18,Consistent within displayed rounding
20,LSGW,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,-3.92,Consistent within displayed rounding
21,CBVH,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,7.74,Consistent within displayed rounding
22,YJCH,None,Limited: sector-average P/E absent,"Complete: price, SMA50, price/SMA50, volume ratio, RSI","Limited: one snapshot; no growth, cash-flow, debt, or profitability history",Applicable: can state confidence and identify missing evidence,-3.71,Consistent within displayed rounding
