q,lane,outcome,flow,cms,prd
F1,F,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,False,False
F10,F,STABLE_FAILURE,MIXED_FLOW,False,False
F11,F,STABLE_FAILURE,MIXED_FLOW,False,False
F12,F,CORRECTNESS_LOST,MIXED_FLOW,False,True
F13,F,STABLE_FAILURE,FALSE_CONSENSUS,False,False
F14,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F15,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F16,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F17,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F18,F,STABLE_FAILURE,MIXED_FLOW,False,False
F19,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F2,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F20,F,STABLE_FAILURE,FALSE_CONSENSUS,False,False
F21,F,STABLE_FAILURE,MIXED_FLOW,False,False
F22,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F23,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F24,F,STABLE_FAILURE,MIXED_FLOW,False,False
F25,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F26,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F27,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F28,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F29,F,STABLE_SUCCESS,MIXED_FLOW,False,True
F3,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F30,F,DEBATE_RESCUE,NOISE_REDUCTION,False,True
F31,F,STABLE_SUCCESS,NOISE_REDUCTION,False,False
F32,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F33,F,STABLE_FAILURE,MIXED_FLOW,False,False
F34,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F35,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F36,F,STABLE_FAILURE,MIXED_FLOW,False,False
F37,F,STABLE_SUCCESS,NOISE_REDUCTION,False,False
F38,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F39,F,STABLE_FAILURE,FALSE_CONSENSUS,False,False
F4,F,STABLE_FAILURE,MIXED_FLOW,False,False
F40,F,DEBATE_RESCUE,NOISE_REDUCTION,False,True
F41,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F42,F,STABLE_FAILURE,MIXED_FLOW,False,False
F43,F,STABLE_FAILURE,MIXED_FLOW,False,False
F44,F,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
F45,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F46,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F47,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F49,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F5,F,STABLE_FAILURE,MIXED_FLOW,False,False
F50,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F6,F,STABLE_FAILURE,MIXED_FLOW,False,False
F7,F,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,False,False
F8,F,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
F9,F,STABLE_FAILURE,MIXED_FLOW,False,False
FT1,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT10,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT11,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT12,FT,STABLE_FAILURE,FALSE_CONSENSUS,False,False
FT13,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT14,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT15,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT16,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT17,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT18,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT19,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT2,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT20,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT21,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT22,FT,STABLE_SUCCESS,NO_MATERIAL_CHANGE,False,False
FT23,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT24,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT25,FT,STABLE_SUCCESS,NOISE_REDUCTION,False,False
FT26,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT27,FT,STABLE_SUCCESS,PRODUCTIVE_CONVERGENCE,False,False
FT28,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT29,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT3,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT30,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT31,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT32,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
FT33,FT,STABLE_FAILURE,MIXED_FLOW,False,False
FT34,FT,STABLE_FAILURE,NO_MATERIAL_CHANGE,False,False
