question_id,lane,n_tickers,chars,is_empty
F1,F,1,796,False
F11,F,1,796,False
F12,F,3,2392,False
F2,F,2,1594,False
F25,F,2,866,False
F31,F,3,1664,False
F44,F,2,1603,False
T1,T,5,3963,False
T2,T,5,3968,False
T10,T,5,3991,False
FT1,FT,1,797,False
FT2,FT,1,796,False
FT10,FT,1,794,False
FT12,FT,1,795,False
FT25,FT,1,804,False
FT31,FT,1,798,False
F10,F,1,793,False
F13,F,1,804,False
F14,F,1,792,False
F15,F,1,794,False
F16,F,1,801,False
F17,F,1,794,False
F18,F,1,799,False
F19,F,2,1590,False
F20,F,1,796,False
F21,F,2,1591,False
F22,F,1,796,False
F23,F,0,0,True
F24,F,1,794,False
F26,F,1,795,False
F27,F,1,797,False
F28,F,1,800,False
F29,F,2,1591,False
F3,F,1,796,False
F30,F,1,800,False
F32,F,2,1598,False
F33,F,1,796,False
F34,F,1,798,False
F35,F,1,795,False
F36,F,1,796,False
F37,F,2,1602,False
F38,F,1,791,False
F39,F,1,793,False
F4,F,1,794,False
F40,F,2,868,False
F41,F,4,3163,False
F42,F,2,1591,False
F43,F,1,796,False
F45,F,0,0,True
F46,F,1,790,False
F47,F,1,795,False
F49,F,0,0,True
F5,F,1,801,False
F50,F,5,3974,False
F6,F,2,1598,False
F7,F,1,795,False
F8,F,1,804,False
F9,F,1,799,False
FT11,FT,1,798,False
FT13,FT,1,798,False
FT14,FT,1,794,False
FT15,FT,1,797,False
FT16,FT,1,797,False
FT17,FT,1,795,False
FT18,FT,1,791,False
FT19,FT,0,0,True
FT20,FT,1,796,False
FT21,FT,1,793,False
FT22,FT,1,792,False
FT23,FT,1,800,False
FT24,FT,1,794,False
FT26,FT,1,796,False
FT27,FT,1,795,False
FT28,FT,1,796,False
FT29,FT,1,798,False
FT3,FT,1,793,False
FT30,FT,1,800,False
FT32,FT,1,795,False
FT33,FT,1,795,False
FT34,FT,1,793,False
FT35,FT,1,794,False
FT36,FT,1,801,False
FT37,FT,1,801,False
FT38,FT,1,798,False
FT39,FT,1,798,False
FT4,FT,1,797,False
FT40,FT,1,804,False
FT41,FT,1,804,False
FT42,FT,1,800,False
FT43,FT,1,797,False
FT44,FT,1,795,False
FT45,FT,1,795,False
FT46,FT,1,795,False
FT47,FT,2,1592,False
FT48,FT,1,798,False
FT49,FT,2,1602,False
FT5,FT,1,796,False
FT50,FT,1,798,False
FT6,FT,1,798,False
FT7,FT,1,796,False
FT8,FT,1,798,False
FT9,FT,1,795,False
T11,T,4,3144,False
T12,T,5,3989,False
T13,T,5,3965,False
T14,T,4,3174,False
T16,T,5,3968,False
T17,T,4,3186,False
T19,T,4,3170,False
T20,T,4,3182,False
T21,T,5,3975,False
T22,T,5,3915,False
T23,T,4,3192,False
T24,T,4,3169,False
T27,T,4,3168,False
T29,T,5,3968,False
T3,T,5,3962,False
T31,T,4,3176,False
T32,T,5,3970,False
T33,T,4,3180,False
T34,T,4,3120,False
T35,T,4,3158,False
T37,T,4,3182,False
T38,T,4,3175,False
T4,T,4,3161,False
T40,T,4,3187,False
T41,T,4,3168,False
T42,T,4,3176,False
T44,T,4,3106,False
T45,T,4,3174,False
T46,T,5,3965,False
T47,T,4,3166,False
T48,T,4,3186,False
T49,T,4,3183,False
T50,T,5,3966,False
T6,T,4,3196,False
T7,T,4,3184,False
T8,T,4,3181,False
T9,T,4,3183,False
