question_id,lane,answer_type,round,K,evidence_mode,coverage_incomplete,tickers,parse_rate,gold_scoreable,tu,au,eu,tu_mm,au_mm,eu_mm,tu_norm,au_norm,eu_norm,eu_tu_ratio,predicted,p_noncommit,p_noncommit_fundamental,p_noncommit_trading,p_sys,agent_entropy_fundamental,agent_entropy_trading,k_eff_fundamental,k_eff_trading,gold_prob,correct,brier,nll,agent_gold_prob_fundamental,agent_gold_prob_trading,model,gold_label,noncommit_is_gold,predicted_is_noncommit,prediction_commitment_cell,strict_correct,strict_error,lenient_correct,error_type,ticker1
F1,F,yes_no_mixed,1,10,oracle_evidence,True,AAPL,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,1.0,True,0.0,0.2876820724517809,1.0,1.0,gemma4,mixed,True,True,noncommit_gold__noncommit_pred,True,False,True,correct,AAPL
F10,F,open_summary_with_canonical_claim,1,10,oracle_evidence,True,AVGO,0.7,True,0.5623351446188083,0.3465735902799726,0.2157615543388356,0.598049430333094,0.4090735902799726,0.1889758400531213,0.5118595071429147,0.3154648767857287,0.1963946303571861,0.3836885465963443,claim_false,0.25,0.5,0.0,"{""claim_true"": 0.0, ""claim_false"": 0.75, ""mixed"": 0.25}",0.6931471805599453,-0.0,4,10,0.0,False,1.625,2.19722457733622,0.0,0.0,gemma4,claim_true,False,False,committed_gold__committed_pred,False,True,False,wrong_direction_commitment,AVGO
F11,F,yes_no_mixed,1,10,oracle_evidence,True,TSLA,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,yes,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,TSLA
F12,F,company_choice,1,10,oracle_evidence,False,AAPL|MSFT|GOOGL,1.0,True,0.6931471805599453,0.0,0.6931471805599453,0.7181471805599453,0.0,0.7181471805599453,0.5,0.0,0.5,1.0,MSFT,0.0,0.0,0.0,"{""AAPL"": 0.0, ""MSFT"": 0.5, ""GOOGL"": 0.5, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.5,False,0.5,0.8754687373538999,0.0,1.0,gemma4,GOOGL,False,False,committed_gold__committed_pred,False,True,False,wrong_direction_commitment,AAPL
F13,F,yes_no_mixed,1,10,oracle_evidence,True,NFLX,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,mixed,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 1.0, ""insufficient_data"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,no,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NFLX
F14,F,yes_no_mixed,1,10,oracle_evidence,True,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,no,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,NONE
F15,F,graded_judgment,1,10,oracle_evidence,False,QCOM,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""sound"": 0.0, ""mixed"": 0.0, ""weak"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,sound,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,QCOM
F16,F,yes_no_mixed,1,10,oracle_evidence,False,AMZN,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,no,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,AMZN
F17,F,open_summary_with_canonical_claim,1,10,oracle_evidence,True,,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,claim_false,0.0,0.0,0.0,"{""claim_true"": 0.0, ""claim_false"": 1.0, ""mixed"": 0.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.19722457733622,0.0,0.0,gemma4,claim_true,False,False,committed_gold__committed_pred,False,True,False,wrong_direction_commitment,NONE
F18,F,yes_no_mixed,1,10,oracle_evidence,True,META,1.0,True,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,insufficient_data,1.0,1.0,1.0,"{""yes"": 0.0, ""no"": 0.0, ""mixed"": 0.0, ""insufficient_data"": 1.0}",-0.0,-0.0,10,10,0.0,False,2.0,2.4849066497880004,0.0,0.0,gemma4,yes,False,True,committed_gold__noncommit_pred,False,True,False,hedge_collision,META
